"Bug ID","Product","Component","Assignee","Reporter","Status","Summary","Resolution","Severity","Version","Keywords","Changed"
53,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Password fields for account sign-up and change account password are displayed in plain text","FIXED","normal",1.0,"Exploratory, Scripted","2020-01-16 02:46:54"
54,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Creating a new account using an existing userid crashes the application"," ---","major",1.0,"Exploratory","2020-01-16 02:49:08"
55,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Account sign up form does not require/check for password match","FIXED","major",1.0,"Exploratory","2020-01-16 02:48:05"
56,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Account sign up form with empty required fields in account information crashes the application","FIXED","major",1.0,"Exploratory, Scripted","2020-01-16 02:53:24"
57,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Add required field indicator in the account signup form","FIXED","enhancement",1.0,"Exploratory","2020-01-16 02:53:47"
58,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Removing two or more items from Cart using the remove button does not work and results in a null error"," ---","major",1.0,"Exploratory, Scripted","2020-01-16 02:54:07"
59,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Save account information does not save changes in account information","FIXED","major",1.0,"Exploratory, Scripted","2020-01-16 02:54:31"
60,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Change account password does not save new password","FIXED","major",1.0,"Exploratory, Scripted","2020-01-16 02:54:41"
61,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Purchase items always reverts back to 1 quantity at order summary","FIXED","major",1.0,"Exploratory","2020-01-16 02:54:48"
170,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Change user password does not check for matching repeat password","FIXED","normal",1.0,"Scripted","2020-01-16 02:54:54"
186,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s1haucib@qualitylab.com","CONFIRMED","Account sign-in doesn't show an error message when username and password fields are empty"," ---","minor",1.0,"Scripted","2020-01-16 02:55:53"
187,"G4_PetStore","G4_ShoppingCart","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Shopping cart negative value removes the item in cart"," ---","normal",1.0,"Scripted","2020-01-16 02:56:44"
195,"G4_PetStore","G4_Other","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Cart items are removed when the user signs out"," ---","major",1.0,"Scripted","2020-01-16 02:57:03"
197,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s1haucib@qualitylab.com","CONFIRMED","User has access to the My Account section when signed out from other tab"," ---","major",1.0,"Scripted","2020-01-16 02:57:27"
213,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","VERIFIED","System allows account information fields to be changed to blank and does not display an error message.","FIXED","enhancement",1.0,"Scripted","2020-01-16 02:58:51"
219,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","VERIFIED","Updating Favorites Category does not change image and text in the footer","FIXED","enhancement",1.0,"Scripted","2020-01-16 02:58:58"
221,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s1haucib@qualitylab.com","VERIFIED","Changing the account's first name doesn't save changes after the user signs out and signs in again","FIXED","major",1.0,"Scripted","2020-01-16 02:59:24"
225,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s1haucib@qualitylab.com","VERIFIED","Changing account's first name does not show an error message when leaving the field empty","FIXED","major",1.0,"Scripted","2020-01-16 02:59:49"
227,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","VERIFIED","User is able to create an account with different values in New Password and Repeat Password fields","FIXED","enhancement",1.0,"Scripted","2020-01-16 03:00:14"
230,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","CONFIRMED","No error message is displayed when an account with no information in any fields is attempted to be created"," ---","enhancement",1.0,"Scripted","2020-01-16 03:00:21"
236,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Shipping address form does not check for empty fields","FIXED","major",1.0,"Scripted","2020-01-16 03:00:31"
240,"G4_PetStore","G4_ShoppingCart","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","VERIFIED","Shopping cart quantity fields allow for an infinite number","FIXED","major",1.0,"Scripted","2020-01-16 03:00:36"
251,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Card number and Date fields in payment details can accept strings"," ---","major",1.0,"Exploratory","2020-01-16 03:00:42"
329,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","New password and repeat password in signup form is indicated as optional"," ---","enhancement",1.1,"Exploratory","2020-01-16 01:39:27"
330,"G4_PetStore","G4_Other","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Language preference change does not work."," ---","normal",1.1,"Exploratory","2020-01-16 03:01:24"
331,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","CONFIRMED","Change account with empty State field crashes the system - HTTP Status 500 - Internal Server Error"," ---","enhancement",1.1,"Scripted","2020-01-16 03:01:33"
333,"G4_PetStore","G4_Account","developer@qualitylab.com","g4s3ultram@qualitylab.com","CONFIRMED","Account Registration with blank first name field - no error message"," ---","major",1.1,"Scripted","2020-01-16 03:02:26"
337,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s2fl00tv@qualitylab.com","CONFIRMED","Sign on before checkout prompt does not bring user to checkout screen after signing in"," ---","normal",1.1,"Exploratory, Scripted","2020-01-16 03:31:41"
347,"G4_PetStore","G4_Order","developer@qualitylab.com","g4s3ultram@qualitylab.com","CONFIRMED","Order is able to be processed with a blank value for the mandatory Billing Address Field - State"," ---","enhancement",1.1,"Scripted","2020-01-16 03:17:36"
